Y,DN,DN,DN,,DN,N,NR,T,,,,,,free
Y,DN,Y,N,,Y,Y,Y,T,,,,,,medium
Y,DN,Y,DN,,Y,DN,Y,T,N,,,,,medium
Y,DN,DN,DN,,DN,DN,NR,T,,,,,,free
Y,DN,Y,N,,Y,DN,Y,H,,,,,,
N,Y,Y,N,,Y,N,NR,T,,,,,,free
Y,Y,Y,N,,Y,Y,NR,T,,,,,,free
Y,DN,Y,N,,Y,Y,Y,T,,,,,,medium
Y,DN,Y,N,,DN,DN,NR,,,,,,,free
Y,DN,Y,N,,Y,Y,NR,T,Y,,,,,free
Y,DN,DN,DN,,DN,DN,NR,T,,,,,,free
Y,DN,Y,DN,,Y,DN,NR,T,,,,,,medium
Y,DN,Y,N,,DN,DN,NR,T,,,,,,free
N,DN,DN,N,Y,Y,Y,Y,T,,,,,,high
Y,DN,DN,DN,,Y,Y,Y,H,,,,,,
Y,DN,DN,N,,DN,DN,NR,T,,,,,,free
Y,DN,Y,N,,Y,DN,NR,T,,,,,,free
Y,DN,Y,Y,,DNS,Y,NR,T,,Y,Y,Y,friends,free
Y,Y,Y,Y,,Y,Y,Y,H,,,,,friends,free
Y,Y,Y,Y,Y,Y,Y,Y,T,,,N,Y,friends,medium
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,low
N,N,N,Y,,N,N,N,T,,,Y,Y,,free
Y,Y,Y,N,,N,Y,Y,T,,,Y,Y,friends,medium
N,N,Y,Y,,N,N,N,T,,,Y,Y,friends,free
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,low
Y,Y,Y,N,,Y,Y,N,H,,,,,friends,free
N,Y,Y,Y,,Y,N,N,T,,,Y,Y,friends,medium
Y,Y,Y,Y,,Y,N,N,T,,,Y,Y,friends,low
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,medium
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,medium
Y,Y,Y,Y,,Y,Y,N,T,,,Y,Y,friends,free
Y,Y,Y,Y,,Y,Y,N,T,,,Y,Y,friends,low
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,medium
Y,Y,Y,N,Y,Y,Y,Y,T,,,Y,Y,friends,low
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,low
Y,Y,Y,Y,,DNS,Y,N,T,,,Y,Y,friends,free
Y,Y,Y,Y,,Y,Y,Y,T,,,Y,Y,friends,free
Y,Y,Y,N,,Y,Y,Y,H,,,,,alone,
Y,Y,Y,Y,,Y,Y,N,T,,,Y,Y,friends,free
